IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_med,X_med,Y_chip,X_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"104 PLAINVIEW ST,EAGLE LAKE,MN,56024",1.0,1.0,0.0,0.0,0.0,0.0,44.16427803,-93.88436976,44.16427803,-93.88436976,1,0,0,1
"104 W 2ND ST,CHASKA,MN,55318-2625",2.0,2.0,0.0,0.0,0.0,0.0,44.78525323,-93.60084615,44.78525323,-93.60084615,1,0,0,1
"1041 MARION ST,SAINT PAUL,MN,55117-5175",0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,44.97267625,-93.10981981,44.97267625,-93.10981981,1,0,0,1
"1043 E US HIGHWAY 169,GRAND RAPIDS,MN,55744-3165",1.0,1.0,0.0,0.0,0.0,0.0,47.23608922,-93.51262594,47.23608922,-93.51262594,1,0,0,1
"10440 185TH ST W STE 200,LAKEVILLE,MN,55044-6680",0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,44.68120264,-93.27609385,44.68120264,-93.27609385,1,0,0,1
"105 E BRIDGE ST,REDWOOD FALLS,MN,56283",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,44.54130344,-95.11917217,44.54130344,-95.11917217,1,0,0,1
"105 E BRIDGE ST,REDWOOD FALLS,MN,56283-2607",2.6666666666666665,2.5,0.0,0.0,0.0,0.0,44.54130344,-95.11917217,44.54130344,-95.11917217,1,0,0,1
"105 NEW ENGLAND PL STE 120,STILLWATER,MN,55082-6683",0.5,0.5,0.0,0.0,0.0,0.0,45.05663652,-92.86086924,45.05663652,-92.86086924,1,0,0,1
"1050 MINNESOTA AVE S,AITKIN,MN,56431",0.5833333333333333,0.5833333333333333,0.0,0.0,0.0,0.0,46.51686068,-93.70706328,46.51686068,-93.70706328,1,0,0,1
"1050 MINNESOTA AVE S,AITKIN,MN,56431-7412",3.6666666666666665,3.6666666666666665,0.0,0.0,0.0,0.0,46.51686068,-93.70706328,46.51686068,-93.70706328,1,0,0,1
"106 3RD AVE NW,ARLINGTON,MN,55307-2099",2.6666666666666665,2.5,0.0,0.0,0.2,0.2,44.60775633,-94.08028616,44.60775633,-94.08028616,1,0,0,1
"106 E JAMES ST,PAYNESVILLE,MN,56362-1615",2.0,2.0,0.0,0.0,0.0,0.0,45.38169418,-94.71348358,45.38169418,-94.71348358,1,0,0,1
"106 E WASHINGTON AVE,FERGUS FALLS,MN,56537",1.0,1.0,0.0,0.0,0.0,0.0,46.28138452,-96.07378049,46.28138452,-96.07378049,1,0,0,1
"106 E WASHINGTON AVE,FERGUS FALLS,MN,56537-2853",1.0,1.0,0.0,0.0,0.0,0.0,46.28138452,-96.07378049,46.28138452,-96.07378049,1,0,0,1
"106 N RUM RIVER DR,PRINCETON,MN,55371-1617",0.6666666666666666,0.6666666666666666,0.18181818181818185,0.14285714285714285,1.1068181818181821,1.0575757575757576,45.57033874,-93.58008127,45.57033874,-93.58008127,1,0,0,1
"106 S RUM RIVER DR,PRINCETON,MN,55371-1816",0.0,0.0,0.0,0.0,1.6815476190476188,1.7099567099567097,45.56944741,-93.58008222,45.56944741,-93.58008222,1,0,0,1
"1060 HIGHWAY 15 S STE 84,HUTCHINSON,MN,55350-3196",9.541705516705516,9.268989343989343,0.0,0.0,0.0,0.0,44.87628398,-94.37566925,44.87628398,-94.37566925,1,0,0,1
"1060 MN-15 S,HUTCHINSON,MN,55350",0.43333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,44.87628398,-94.37566925,44.87628398,-94.37566925,1,0,0,1
"10600 OLD COUNTY ROAD 15 STE 120,PLYMOUTH,MN,55441-6205",2.0,2.0,0.0,0.0,0.0,0.0,44.98506896,-93.41492388,44.98506896,-93.41492388,1,0,0,1
"10611 FRANCE AVE S STE 200,BLOOMINGTON,MN,55431-3554",3.0,3.0,0.0,0.0,0.0,0.0,44.81145607,-93.32950476,44.81145607,-93.32950476,1,0,0,1
"10617 FRANCE AVE S,BLOOMINGTON,MN,55431-3539",0.0,0.0,0.0,0.0,0.2,0.2,44.81133544,-93.32948366,44.81133544,-93.32948366,1,0,0,1
"1068 LAKE ST S STE 205,FOREST LAKE,MN,55025-2634",0.0,0.0,0.0,0.0,2.0,2.0,45.26864127,-92.98358293,45.26864127,-92.98358293,1,0,0,1
"1068 LAKE ST S STE 209,FOREST LAKE,MN,55025-2634",11.791666666666664,11.625,0.0,0.0,0.0,0.0,45.26864127,-92.98358293,45.26864127,-92.98358293,1,0,0,1
"1068 S LAKE ST,FOREST LAKE,MN,55025",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,45.26864127,-92.98358293,45.26864127,-92.98358293,1,0,0,1
"107 DUPONT AVE NW,RENVILLE,MN,56284",1.7666666666666666,1.9166666666666663,0.0,0.0,0.0,0.0,44.79232154,-95.21217955,44.79232154,-95.21217955,1,0,0,1
"107 DUPONT AVE,RENVILLE,MN,56284",1.0,1.0,0.0,0.0,0.0,0.0,44.79232154,-95.21217955,44.79232154,-95.21217955,1,0,0,1
"107 W MAIN ST,CROSBY,MN,56441-1423",2.5,2.5,0.0,0.0,0.0,0.0,46.48245245,-93.95477002,46.48245245,-93.95477002,1,0,0,1
"107 WASHBURNE AVE,PAYNESVILLE,MN,56362",0.125,0.16666666666666666,0.0,0.0,0.0,0.0,45.38248712,-94.71342749,45.38248712,-94.71342749,1,0,0,1
"107 WASHBURNE AVE,PAYNESVILLE,MN,56362-1640",0.25,0.16666666666666666,0.0,0.0,0.0,0.0,45.38248712,-94.71342749,45.38248712,-94.71342749,1,0,0,1
"10700 OLD COUNTY ROAD 15 STE 180,PLYMOUTH,MN,55441-6144",1.0,1.0,0.0,0.0,0.0,0.0,44.98526269,-93.41548113,44.98526269,-93.41548113,1,0,0,1
"1075 3RD ST E,SAINT PAUL,MN,55106-5750",0.007352941176470587,0.007352941176470587,0.0,0.0,0.0,0.0,44.9568331,-93.05537031,44.9568331,-93.05537031,1,0,0,1
"10756 BUTTERNUT ST NW,COON RAPIDS,MN,55448-4448",2.0,2.0,0.0,0.0,0.0,0.0,45.16622181,-93.26727947,45.16622181,-93.26727947,1,0,0,1
"10756 BUTTERNUT ST NW,MINNEAPOLIS,MN,55448",0.5,0.5,0.0,0.0,0.0,0.0,45.16622181,-93.26727947,45.16622181,-93.26727947,1,0,0,1
"1077 HELMO AVE N STE 150,OAKDALE,MN,55128-5546",0.0,0.0,0.0,0.0,1.0,1.0,44.96479326,-92.95246842,44.96479326,-92.95246842,1,0,0,1
"108 MAIN ST N,DILWORTH,MN,56529-1202",0.02696278604652984,0.027044972198163292,0.0,0.0,0.0,0.0,46.87764482,-96.70322012,46.87764482,-96.70322012,1,0,0,1
"108 MICHIGAN AVE W,WALKER,MN,56484",1.0,1.0,0.0,0.0,0.0,0.0,47.10105345,-94.57630172,47.10105345,-94.57630172,1,0,0,1
"108 MICHIGAN AVE W,WALKER,MN,56484-2274",6.0,6.0,0.0,0.0,0.0,0.0,47.10105345,-94.57630172,47.10105345,-94.57630172,1,0,0,1
"108 N 3RD AVE,VIRGINIA,MN,55792-2519",0.5,0.5,0.0,0.0,0.0,0.0,47.52393213,-92.53492262,47.52393213,-92.53492262,1,0,0,1
"1089 CYPRESS ST,SAINT PAUL,MN,55106-3339",0.0071428571428571435,0.0071428571428571435,0.0,0.0,0.0,0.0,44.97389944,-93.05836183,44.97389944,-93.05836183,1,0,0,1
"109 COFFEE ST,LANESBORO,MN,55949-9748",2.0,2.0,0.0,0.0,0.0,0.0,43.72195253,-91.97624186,43.72195253,-91.97624186,1,0,0,1
"109 E MAPLE ST,HOUSTON,MN,55943",1.0,1.0,0.0,0.0,0.0,0.0,43.7622375,-91.5680205,43.7622375,-91.5680205,1,0,0,1
"109 E MAPLE ST,HOUSTON,MN,55943-8449",1.0,1.0,0.0,0.0,0.0,0.0,43.7622375,-91.56802049,43.7622375,-91.56802049,1,0,0,1
"109 JOHNSON AVE N,FOSSTON,MN,56542-1327",0.4,0.43333333333333335,0.0,0.0,0.0,0.0,47.57658745,-95.75121538,47.57658745,-95.75121538,1,0,0,1
"109 S 7TH ST STE 133,MINNEAPOLIS,MN,55402-2382",1.0,0.8333333333333333,0.0,0.0,0.0,0.0,44.97613363,-93.27053178,44.97613363,-93.27053178,1,0,0,1
"109 S 7TH ST,MINNEAPOLIS,MN,55402",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,44.97613363,-93.27053178,44.97613363,-93.27053178,1,0,0,1
